locality,provisional_ballots,absentee_ballots,in_person_ballots,in_person_curbside_ballots,TotalVoteTurnout,ActiveRegisteredVoters,InactiveRegisteredVoters,TotalRegisteredVoters,year,region
ACCOMACK COUNTY,0,466,9289,0,9755,21576,2002,23578,2014,eastern
ALBEMARLE COUNTY,43,2003,31161,53,33207,66251,5638,71889,2014,central
ALEXANDRIA CITY,203,3995,37440,0,41638,78695,10741,89436,2014,northern
ALLEGHANY COUNTY,0,169,4026,3,4195,9739,573,10312,2014,valley
AMELIA COUNTY,3,246,3846,11,4095,8427,354,8781,2014,central
AMHERST COUNTY,7,332,8521,23,8860,19099,1013,20112,2014,west_central
APPOMATTOX COUNTY,2,172,4593,8,4767,9926,402,10328,2014,west_central
ARLINGTON COUNTY,236,7115,60757,75,68108,141071,20773,161844,2014,northern
AUGUSTA COUNTY,12,745,19262,32,20019,42949,2422,45371,2014,valley
BATH COUNTY,0,47,1139,2,1186,3073,176,3249,2014,valley
BEDFORD COUNTY,18,1037,23772,19,24827,49874,3099,52973,2014,west_central
BLAND COUNTY,1,65,1775,0,1841,4367,232,4599,2014,southwest
BOTETOURT COUNTY,10,521,10608,30,11139,11832,581,12413,2014,west_central
BRISTOL CITY,7,179,3653,28,3839,10080,1413,11493,2014,southwest
BRUNSWICK COUNTY,12,285,4188,74,4485,10265,635,10900,2014,southside
BUCHANAN COUNTY,1,301,4424,4,4726,14669,1187,15856,2014,southwest
BUCKINGHAM COUNTY,6,168,3779,15,3953,9537,469,10006,2014,southside
BUENA VISTA CITY,0,52,1159,3,1211,3445,460,3905,2014,valley
CAMPBELL COUNTY,3,462,15161,41,15626,33657,2133,35790,2014,west_central
CAROLINE COUNTY,25,347,7268,29,7640,17501,1324,18825,2014,central
CARROLL COUNTY,3,312,6807,25,7122,17469,1197,18666,2014,southwest
CHARLES CITY COUNTY,1,191,2309,28,2501,5078,238,5316,2014,central
CHARLOTTE COUNTY,0,124,3497,0,3621,7697,589,8286,2014,southside
CHARLOTTESVILLE CITY,39,778,9972,0,10789,26384,5889,32273,2014,central
CHESAPEAKE CITY,102,2207,58713,338,61022,135482,13853,149335,2014,hampton_roads
CHESTERFIELD COUNTY,171,4407,96913,0,101491,208413,14935,223348,2014,central
CLARKE COUNTY,4,276,4735,9,5015,9522,558,10080,2014,northern
COLONIAL HEIGHTS CITY,0,389,4323,3,4712,11226,787,12013,2014,central
COVINGTON CITY,0,52,1170,1,1222,3315,383,3698,2014,valley
CRAIG COUNTY,1,51,1580,1,1632,3347,171,3518,2014,west_central
CULPEPER COUNTY,15,600,11084,18,11699,21879,1841,23720,2014,northern
CUMBERLAND COUNTY,3,90,2704,12,2797,6233,560,6793,2014,southside
DANVILLE CITY,9,606,10412,67,11027,23926,2514,26440,2014,southside
DICKENSON COUNTY,2,323,3091,5,3416,9946,916,10862,2014,southwest
DINWIDDIE COUNTY,1,304,7080,3,7385,21831,1200,23031,2014,central
EMPORIA CITY,0,45,1346,4,1391,3428,363,3791,2014,southside
ESSEX COUNTY,4,196,2851,4,3051,7121,384,7505,2014,eastern
FAIRFAX CITY,16,595,6437,9,7048,14271,1225,15496,2014,northern
FAIRFAX COUNTY,497,26547,279851,807,306895,634821,33492,668313,2014,northern
FALLS CHURCH CITY,17,638,4416,4,5071,8527,777,9304,2014,northern
FAUQUIER COUNTY,16,1014,19666,0,20696,44021,3244,47265,2014,northern
FLOYD COUNTY,2,262,4401,12,4665,9931,495,10426,2014,west_central
FLUVANNA COUNTY,5,700,7659,0,8364,15898,984,16882,2014,central
FRANKLIN CITY,0,129,2064,8,2193,5214,506,5720,2014,southside
FRANKLIN COUNTY,6,742,15055,25,15803,33224,2063,35287,2014,west_central
