RespID,ppl_like_you,President,Congress,Supreme_Court,CDC,Election_officials,Intelligence,Media,Police,USPS,age,education,race,gender,income_cat,voter_cat
470001,2.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,73,College,White,Female,$75-125k,always
470002,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,90,College,White,Female,$125k or more,always
470003,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,53,College,White,Male,$125k or more,sporadic
470007,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,58,Some college,Black,Female,$40-75k,sporadic
480008,2.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,81,High school or less,White,Male,$40-75k,always
480009,4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,61,High school or less,White,Female,$40-75k,rarely/never
480010,1.0,2.0,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,80,High school or less,White,Female,$125k or more,always
470008,1.0,4.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,68,Some college,Other/Mixed,Female,$75-125k,always
470010,3.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,70,College,White,Male,$125k or more,always
470011,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,83,Some college,White,Male,$125k or more,always
470013,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,43,College,White,Male,$75-125k,sporadic
470016,2.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,42,College,White,Female,$125k or more,sporadic
480020,4.0,1.0,4.0,1.0,3.0,4.0,3.0,4.0,2.0,3.0,48,College,White,Male,$40-75k,rarely/never
470017,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,52,Some college,White,Male,$125k or more,sporadic
470018,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,80,High school or less,White,Female,$40-75k,always
470019,1.0,1.0,4.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,76,High school or less,White,Female,$75-125k,sporadic
470022,2.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,73,Some college,White,Female,Less than $40k,always
470025,3.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,52,College,White,Female,$125k or more,always
470027,2.0,3.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,63,Some college,White,Male,$75-125k,always
470028,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,81,Some college,White,Male,Less than $40k,always
470029,4.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,46,Some college,Other/Mixed,Male,Less than $40k,rarely/never
470030,3.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,62,Some college,White,Male,$40-75k,always
470031,3.0,4.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,62,College,Black,Male,$75-125k,sporadic
470033,3.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,84,High school or less,White,Male,Less than $40k,sporadic
470034,2.0,1.0,4.0,2.0,2.0,2.0,3.0,4.0,1.0,4.0,53,College,White,Female,$75-125k,sporadic
470035,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,71,High school or less,White,Female,Less than $40k,always
470036,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,50,High school or less,Black,Female,Less than $40k,rarely/never
470037,3.0,4.0,4.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,77,Some college,White,Female,$75-125k,sporadic
470038,1.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,67,College,White,Male,$40-75k,always
470039,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,80,High school or less,White,Female,Less than $40k,always
470040,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,54,College,White,Male,$125k or more,always
470042,4.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,53,Some college,White,Male,$40-75k,always
470043,4.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,47,Some college,Hispanic,Male,$40-75k,rarely/never
470044,3.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,68,College,White,Male,$75-125k,always
470045,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,73,High school or less,White,Male,$40-75k,sporadic
470046,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,62,High school or less,Other/Mixed,Male,$75-125k,sporadic
480053,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,58,High school or less,Black,Female,Less than $40k,sporadic
470049,2.0,4.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,58,High school or less,White,Female,$75-125k,sporadic
470050,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,1.0,2.0,87,High school or less,White,Female,Less than $40k,always
480056,3.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,55,Some college,Black,Male,$40-75k,sporadic
470051,3.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,52,High school or less,White,Male,$40-75k,rarely/never
470052,3.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,64,Some college,Other/Mixed,Female,$75-125k,sporadic
470053,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,82,Some college,White,Male,$125k or more,always
470056,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,58,College,White,Female,$125k or more,always
470057,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,55,College,White,Male,$40-75k,always
470058,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,84,Some college,White,Female,$40-75k,always
470059,3.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,66,Some college,White,Female,$40-75k,always
470061,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,63,Some college,Black,Female,$40-75k,always
470062,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,75,College,White,Male,$75-125k,always
470064,3.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,67,Some college,White,Female,$75-125k,always
470065,3.0,4.0,1.0,1.0,1.0,,4.0,4.0,1.0,1.0,59,High school or less,White,Male,Less than $40k,sporadic
470067,3.0,3.0,4.0,1.0,2.0,2.0,3.0,4.0,2.0,3.0,59,Some college,White,Male,$125k or more,sporadic
470068,2.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,44,College,Other/Mixed,Female,$75-125k,always
470070,3.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,73,Some college,White,Female,$40-75k,sporadic
470071,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,46,College,White,Female,$125k or more,sporadic
470072,3.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,36,College,White,Female,$40-75k,always
470073,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,43,High school or less,White,Male,$40-75k,sporadic
470074,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,56,College,White,Female,$75-125k,always
480081,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,,80,High school or less,White,Female,$40-75k,always
470075,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,50,College,White,Female,$75-125k,always
470077,3.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,1.0,3.0,57,High school or less,White,Female,$75-125k,rarely/never
470079,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,66,Some college,White,Female,$125k or more,always
470080,,,,,1.0,,3.0,3.0,2.0,2.0,29,Some college,White,Female,$75-125k,rarely/never
470082,2.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,43,College,White,Male,$125k or more,sporadic
470087,2.0,1.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,56,Some college,White,Male,Less than $40k,rarely/never
470088,2.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,64,Some college,White,Female,$125k or more,sporadic
470089,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,38,Some college,Other/Mixed,Male,$125k or more,rarely/never
470090,4.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,57,High school or less,White,Female,Less than $40k,rarely/never
470092,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,26,College,Other/Mixed,Male,$125k or more,rarely/never
470094,2.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,75,College,Black,Male,$40-75k,always
470096,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,54,Some college,Other/Mixed,Female,$75-125k,sporadic
470097,2.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,73,College,Other/Mixed,Male,$40-75k,sporadic
470098,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,27,College,White,Female,$40-75k,rarely/never
470100,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,28,College,White,Male,Less than $40k,sporadic
470101,4.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,49,College,Other/Mixed,Male,$125k or more,rarely/never
470102,2.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,56,High school or less,White,Male,$40-75k,rarely/never
